text,annotation
A total population of 6148 is getting the benefit of safe potable drinking water due to this initiative.,1
WRAP — PPL Electric’s Winter Relief Assistance Program — helps customers with limited incomes reduce their home energy use and lower their electric bills.,1
We believe that this power monitoring will help HCM's plant reforms in future through its goal of achieving lower environmental impact and costs with higher energy productivity.,1
"Because solvents are not used, the inks produce almost no volatile organic compounds (VOCs), which also greatly reduce negative impact in work environments.",1
"So it's going to be gradual but to get to a 55% by the end of the year or for the year, we're starting at a place that's 56.7%.",1
"Even so, we plan to meet our sales and profit targets, thanks to growth in the service business and steady progress on the construction of large-scale domestic thermal power plants for which we have already received orders.",1
"In Europe, all of our pulp and paper mills fall under the EU Emissions Trading Scheme (EU ETS) and in South Africa, the government has committed to introduce a carbon tax.",1
"The integration of fuel (upstream and procurement), existing overseas power generation, and energy infrastructure businesses was completed in July 2016, when the company started its full-scale operation as one of the leading energy companies in the world.",1
"During Capital Markets Day 2020, Hydro announced a new and extended improvement ambition, now aiming to achieve improvements of NOK 8.5 billion by 2025.",1
New buildings are BREEAM-certified to provide for good overall energy and environmental quality.,1
"John, I know you want to add anything at a high level to that.",1
I think all businesses have made their commitment in looking at the overall spending plan and make sure we are basically doing everything we can to become more efficient.,1
"Like as an example, for 2 decades, we have had VP of Sales, but we didn't have VP of Customer Retention.",0
The Commitment to Life Program consists of actions focused on preventing accidents and preserving life and the environment.,1
"To this end, Eiffage Route introduced a roadmap for the 2012–2015 period, including 12 per- formance indicators to measure raw material and energy consumption for product manufacturing activities in each region.",1
"And as you saw, we -- in the 2.7 agreement -- or announcement, I should say, we expect to delever over the next couple of years down to levels that are similar to where we stand today.",1
Hydrocarbon spills with an environmental impact: spills with a volume greater than 1 barrel (≈159 liters) are counted.,1
All operations at Panasonic Eco Technology Center are now powered by electricity derived from 100% renewable energy.,1
"And as Brent said, given the environment that we are in today, but what you see is that management has adjusted the expense level to withstand a little bit of this low wind environment.",1
"And also, because of new contract arrangements flowing in different pressures and such, our fuel usage is much lower.",1
No we’re including the puts and takes and just to talk a little bit about the transition.,0
We've also said that we've looked at all the possibilities of things that would be of interest to us.,1
"For us, it's all about the software, it's not about anything else.",1
"We have relationships with companies like waste management, the significant partners, to help us manage that.",1
But it's certainly a hefty investment that needs to be made in our state for renewable energy in order to meet that portfolio of standard.,1
"But we will continue to look at larger opportunities, and for the most part, Robyn, those would be in our 6 areas of focus, therapeutic focus.",1
