text,annotation
"कोविड-19 सोशल डिस्टेंसिंग मानदंडों और अन्य कोरोना संबंधित प्रोटोकॉल के कारण पूर्व राष्ट्रपति के अवशेष को सामान्य गन कैरिज की जगह हार्स वैन में ले जाया जाएगा, गृह मंत्रालय द्वारा COVID19 के लिए जारी सभी दिशा-निर्देशों का पालन किया जाएगा",0
मोदी जी का विकास अभी तक पैदा ही नहीं हुआ और नहीं ही पाएगा कभी।,1
देश बेचने नहीं देंगे हमारे युवा छात्र बस उनको सही जानकारी एक बार हो जाए बीजेपी की कल्याण हो जाएगी रेलवे की निजी करण के खिलाफ छात्र का आक्रोश देश के युवा छात्र को पता चलने लगी है यह देश बेचने नहीं दूंगा सारी देश बेच दी धीरे धीरे कर युवा छात्र जाग गए,0
"बाबासाहब को ब्राह्मणों ने मंदिर जाने से रोका, बाबासाहब ने ब्राह्मणों के मंदिर और धर्म दोनो को छोड़ दिया, सुन रहे हो न अछूतो जय भीम BanEVM BanRSS EVMSarkar EVMPM BanDigitalElections",0
"रोहिंज्ञाओं का देश पर एहसान अब किसी रोहिंज्ञाओं को कुछ मत कहियेगा ये बेचारे अपने देश से निकाले गए हैं । नोट:- खबरदार कोई इन बांग्लादेशी व रोहिंग्या से दिखने वालों का मज्जब मत पूछना... बस चुप चाप देखिए, कैसे काटते थे ATM मशीन को राजीवधवन इन्हें जेल से छुड़वा लेंगे",1
पूर्व प्रधानमंत्री डॉ. मनमोहन सिंह ने 10 राजाजी मार्ग पहुंचकर पूर्व राष्ट्रपति प्रणव मुखर्जी को श्रद्धांजलि दी PranabMukherjee,0
"अरे जयचंद का पाकेटमार पोता साला तूम संसद की मर्यादा को तार तार करो और तूझे मार्शल उठाकर बाहर नहीं फेंके? तूम संसद में था इसलिए बच गए बाहर आकर तमाशा करके दिखाओ, तोड़ दिए जाओगे माओवादी।",1
"Exclusive: केंद्र ने मध्यप्रदेश से कहा- लॉकडाउन में बंटा चावल इंसान के लायक नहीं, जानवरों को खिलाएं",0
भडवा है साला खलिस्तानी और पाकिस्तानी एजेंट है और ये पाकिस्तानी स्लीपर सेल की मेंबर है यहाँ चुप के बैठी है किसी दिन बम बांध के कूद जाएगी और हजारो बेगुनाहो की जान ले लेगी ..निर्दोष हिन्दू के मारने पे ताली तो अभी बजाती है ..आप का चुसेन्द्र,1
फेसबुक पर फरवरी 2019(18 माह) से बीजेपी &amp; संबधित संगठनों का विज्ञापन राशि 64 % रहा है और बाकी में शेष पार्टियों का। अब समझ मे आया कि fb bjp के सेवा में क्यों है।,0
15 लाख से अधिक लोगों ने लिया कोविड-19 स्पेशल बीमा सुरक्षा कवच: इरडा प्रमुख via Coronavirus HealthInsurance Covid19,0
कब खत्‍म होगा कोरोना वायरस? स्‍वास्‍थ्‍य मंत्री डॉ. हर्षवर्धन ने दिया ये जवाब - CoronaOutbreak,0
"नागरिक उड्डयन महानिदेशालय ने अंतरराष्ट्रीय वाणिज्यिक उड़ानों के नियमित संचालन पर लगी रोक 30 सिंतबर तक बढ़ा दी है, ने कहा कि मालवाहक अंतरराष्ट्रीय उड़ानों और विशेष रूप से स्‍वीकृत की गई उड़ानों पर यह रोक लागू नहीं होगी",0
"दोस्तों क्या हुआ योगी जी जैसे महापुरुष के ट्रेंड पर लिखने में इतना संकोच, योगी जी नाम नहीं हिंदुत्व का ब्रांड है ब्रांड,सहयोग करो। सर्वप्रिय योगीजी",0
"जब तक हिंदुस्तान में सिनेमा है, लोग चूतिया बनते रहेंगे।",1
अमर शहीद स्व शहीद राजीव जी पर PM की गन्दी टीप्पणी पर मेरा मानना है की 2 साल पहले सही कहा था मणिशंकर अय्यर ने ये बहुत ही नीच किसम का आदमी है,1
"कंगना कमीनी जहां जहां तेरा छज्जा और चबूतरा हद से बाहर निकलेगा, BMC तोड़ेगी ज़रूर.....🤣🤣🤣",1
कुत्ते कमीनी सूअर की औलाद क्या तेरी मां बहन बेटी नहीं थी भड़वे तेरे को तो सजा ए मौत होना चाहिए कुत्ते देश द्रोही गद्दार और टुकड़े टुकड़े गैंग के साथ खड़ा रहता है कुत्ता भड़वे शाहीन बाग में जिहादियों के साथ खड़ा था आतंकवादियों के साथ सूअर तुझे तो फांसी पर लटका देना चाहिए,1
20 लोग 197 फीट ऊपर एक घंटे तक उल्टे लटके रहे..! news China,0
"नहीं भूलेंगे भाई, मैं मोदी का कट्टर समर्थक हुआ करता था, लेकिन इन दिनों साला इतना दिमाग घूम गया है कि बस मोदी के नाम से ही नफरत होने लग गई, मां कसम😠",1
"कफील खान का भाषण हिंसा भड़काने वाला नहीं, एकता का संदेश: HC KafeelKhan HighCourt",0
देश को अब पता चल चुका है कि भाजपा का असली चाल चरित्र और चेहरा कैसा है ~ वो एक अतंकवादी गोडसे को सपोर्ट करते है और महात्मा गांधी से नफ़रत ~ प्रज्ञा ठाकुर और हेगड़े ने वहीं कहा जो इनके बड़े नेता हमेशा से कहते रहे है ~ यही गोडसे प्रेम RSS aur BJP की सोच है ~ AbHogaNYAY,1
"साइंस और टेक्नोलॉजी की मदद से कोविड-19 का मुकाबला। देखिए डीआरडीओ के यूवी कीटाणुशोधन टॉवर से कैसे हवाई अड्डों, शॉपिंग मॉल, मेट्रो, होटलों, कारखानों, कार्यालयों को कीटाणुमुक्त बनाने में मिलेगी मदद। IndiaFightsCorona",0
"BREAKING | सुशांत के बिजनेस पार्टनर को समन जारी, वरुण माथुर को ED ने जारी किया समन देखिए रिपब्लिक भारत पर LIVE :",0
"चेन्नई सुपरकिंग्स के लिए बड़े दिन बाद कोई पॉज़िटिव ख़बर आई है. खिलाड़ियों और सपोर्ट स्टाफ का कोविड टेस्ट हुआ था, जिसमें सबकी रिपोर्ट नेगेटिव आई है.",0
"कर्नाटक संकट: मुंबई से बेंगलुरू रवाना हुए बागी MLA, विधानसभा स्पीकर पहुंचे सुप्रीम कोर्ट KarnatakaCrisis",0
"रेलवे NEET/JEE परीक्षा देने वाले छात्रों के लिए 2 से 15 सितंबर तक चलाएगी विशेष ट्रेनें, देखें पूरी लिस्ट via",0
यह साला गुंडा aap वैसे लग रहा है साला गली का गुंडा है भगाओ साले को भगाओ राज्यसभा से भगाओ साले को गुंडे,1
"एजीआर पर टेलीकॉम कंपनियों को बड़ी राहत, सुप्रीम कोर्ट ने बकाया चुकाने के लिए दिया 10 साल का समय",0
"RT बेरोजगारी और निजीकरण के खिलाफ कल 9 सितम्बर। ठीक रात 9 बजे। सिर्फ 9 मिनीट के लिए घर की लाइट बंद कर दीप, दिया, मोमबत्तियां…",0
"कुत्तों से याद आया मोदी ने हिज्बुल मुजाहिद्दीन के आतंकियों को अपनी गाड़ी में घुमाने वाले ""DSP देविंदर सिंह"" को बेल दिलवाई इसलिए हिज्बुल मुजाहिद्दीन भी मोदी के साथ है 🤣",1
भारत में कुत्तों की एक नस्ल ऐसी भी पाई जाती है। जिनका पेट भारत मे भरता है। और पूँछ पाकिस्तान की तरफ हिलता हैं। कश्मीरी पत्थरबाज,1
"इस्लामिक आतंकवाद, पत्थरबाज और 1990 में मुस्लिमों द्वारा कश्मीरी हिंदूओं को सामूहिक कत्ल, सामूहिक बलात्कार और उनकी चल और अचल संपत्तियों की लूट",1
"noida बीमा के नाम पर फर्जीवाड़ा करने वाले गैंग का खुलासा, पुलिस ने गैंग के 3 लोगों को गिरफ्तार किया, गया। आरोपियों ने बीमा दिलाने के नाम पर लोगों से लाखों रूपये अपने खाते में ट्रांसफर करवाए, आरोपियों के कबंजे से कई सिम और मोबाइल बरामद हुए, सेक्टर-39 का मामला।",0
"लवजेहाद - मेरा सलीम तो सबसे अलग है वो धर्म को नहीं मानता, वाकई इनका सलीम सबसे अलग है, मौज करने के बाद कुतिया की मौत मारता है.. LoveTrap stop 🛑",1
नीतीश कुमार ने जेडीयू के वर्चुअल सम्मेलन में सुशांत सिंह राजपूत को श्रद्धांजलि दी और कही ये बात,0
कोविड19 बेहतरीन उपाए: उत्तर प्रदेश ने एकीकृत कोविड नियंत्रण एवं कमान केंद्र बनाया और एक एकीकृत राज्य कोविड पोर्टल शुरू किया विवरण : StaySafe IndiaWillWin,0
साला भिखारी कहीं का तू अपने आप को समझता क्या है बॉलीवुड का महान आए तो वह अपने आप को समझता है एक बार फिर तुमसे मैं पूछ रहा हूं कब से यार तू इतना गंदा आदमी कैसे निकल गया तू खुद सेक्स करने के बजाय सेक्स करवाने लगा फिर तू लड़कियों के साथ कैसे सेक्स करता है,1
मुंबई के वडाला स्टेशन पर पाकिस्तान जिंदाबाद के नारे लगाए जा रहे हैं यह सब उद्धव ठाकरे के राज में होना शुरू हो चुका बाल ठाकरे की बात लगती सरकार का समर्थन है ऐसा लगता है,1
नासिर भड़वा है साले को सबक सिखाना जरूरीहै,1
"कर्नाटक की राजनीति में दिखी लोकतंत्र के मजाक की तस्वीरें, BJP ने बताया 'ब्लैक डे' (रिपोर्ट )",0
IPL2020 : टूर्नामेंट से पहले खेला जा सकता है वॉर्म-अप मैच,0
"राम मंदिर निर्माण में हुई देरी के दोषी वो हिन्दू भी है, जिन्होंने 2004 में अटलजी को न चुन के भूरी चाची को चुना था।",1
"मोदी राज आने के बाद अब पता चल रहा है कि कांग्रेस ने इतने साल कितना हिन्दू विरोधी काम किये थे, मोदी-योगी का साथ दें अच्छे दिन हेतु..",1
एक महिला ने योगी जी से प्यार का इज़हार वाली बात कही और उसका वीडियो एक पत्रकार ने शेयर की और उसे जेल हो गई?? लेक़िन देश का विमान 5 दिन से गायब किसी को कुछ नही पता मीडिया धोनी के ग्लब्स मे घुसी है? मोदी घूम कर रहे है। इसपे किसी ने कोई कार्यवाही नही की? यही है नामर्दो की सरकार।,1
कोरोना केवल चयनित शिक्षक अभ्यर्थियों को ही होता है परिवहन भी उन्हीं के लिए बंद है बड़ी-बड़ी राजनीतिक सभाओं में कोरोनावायरस नहीं आता है वह बहुत ही समझदार हैं या आपकी दोगली नीति है GiveMPTETjoiningOrAllowToDie,1
"पटना: BMP कैंप में पुरुष और महिला कांस्टेबल ने गोली मारकर की खुदकुशी, जांच में जुटी पुलिस की रिपोर्ट",0
"LIVE on ReportForSSR | सिद्धार्थ पिठानी सीबीआई जांच में शामिल होने के लिए पहुंचे DRDO ऑफिस, देखिए रिपब्लिक भारत पर : YouTube live TV:",0
सुअर का अगर कोई अपडेट होता तो अपडेट होने के बाद वो बांग्लादेशी क्रिकेट फैन होता,1
"AIMIM ने विधानसभा चुनाव के लिए जारी की सीटों की दूसरी सूची, 18 और सीटों पर पेश की दावेदारी की रिपोर्ट",0
"सबसे पवित्र रिश्ता होता है बहिन भाई का, देख ले नीच वालो इस फोटो को ध्यान से देखो और इल्जाम लगाने से पहले इस पवित्र रिश्ते की लाज रख लो, इस देश का तू एक महान खिलाड़ी था लेकिन इस राजनीति के चक्कर में कितना गिर गया रे थू है तुझ पर",1
. ने PranabMukherjee के निधन पर शोक व्यक्त किया विवरण :,0
"थाली में अनाज नहीं तो बम-बंदूक दिखाने लगा चीन, जानिए क्यों पड़ गए खाने के लाले Ladakh IndiaChinaBorderTension India China",0
