text,annotation
"был любимый ленинград, а теперь самый любимый питер!",0
вот такие дебилы считают себя защитниками народа!,1
"говоришь ты верно,но пиздишь наверно..",1
нет ....а правда в том что когда ты лижешь жопу буржуям жизнь ухудшилась ...и в чем сила то?,1
никуя се ...а мозги где проебала мне 57,1
я на нем за 21 день марафона скинула 5кг и обьемы ушли по 8см.,0
гасанов лох все правду говарить ханым😒,1
"если болен , то нужно лечить , не выкидывайте малыша , подарите ему дом , ласку , уход !",0
"блять, уровень цинизма ничем не ограничен.",1
давно пора принять такой закон,0
тел для справок: 8-9236927706 или стационарный в рабочее время 24-177,0
"кусочки неба на земле палящим августом согреты, на волевом своем челе вы поправляете береты.",0
главное чтоб этот человек знал и понемал!!!!!!!,0
"сиди с мамой ,пришибленная, она тебе епаря лучше найдет, а тебе все равно под кого лечь",1
"гавно у тебя в башке, умник.",1
а ублюдочный организм набирающий лайки... ты говно.,1
"ну что поделаешь, пидоров везде хватает.",1
"где то, я уже видел этого еблана таджика.",1
"на таком автобусе я работал, но с такой надписью таких автобусов небыло.",0
этот лозунг засунуть бы в жопу кто это написал..идиоты!,1
"я использовала дюфалак, нам очень помогло, его совсем немного",0
пошёл ты на хуй олень проститутка ты тупая ссср выебал фашистов в большей мере!,1
"учредитель автономного учреждения не несет ответственности за долги автономной организации, но доходы поступают на счета автономного учреждения",0
"руки прочь от грудинина, руки прочь от совхоза.",0
а у меня было уже двое детей или мне было бы 26,0
"правильно будет чортковский, тернопольская область.",0
"шикарное платье,а рукодельница просто- волшебница.👍",0
"лучше бухать чем на стройке вкалывать за 10 евро в час.вместо лебёдки мешки на крышу таскать, или выродков начальников дебильные команды выполнять.",1
оля проектная актеришка такие и дочки будут тоже участницы этого дома семья.,0
ну и ебальник у этого слуги народа !,1
дебил это и есть внешняя угроза а это не народ а быдло,1
"и ты туда боишься зайти ,хуль ты тут питух пиздишь?",1
хуеплет тебе что надо уебень толстоголовый к вам не кто не обращался,1
помяни господи усопших во царствии своём,0
"что за ебанутый смех!сразу видно, деревенщина,😞",1
"это - унижает и оскорбляет достоинство тех смелых и решительных людей, митингующих уже не одну (!)",0
смотришь на этих весёлых гномов и непроизвольно начинаешь улыбаться...,0
завидуйте молча сучки что мой спешит ко мне а не к вам :d :d :d :d 💋и даже не пытайся 😜😜😜😜💋💋,0
админ ты по ходу ебанутый фантазёр:-d,1
"надо не страну срать ,а наше правительство !",1
а то вы через год начнёте женщин с темными волосами и иными взглядами сжигать на костре!,1
я же эту репку сказал буду один я тянуть,0
хоть и пидор а мыслит верно,0
