text,annotation
"Wenn Saudi Arabien, Iran, Türkei und Katar unsere Verbündete im Kampf gegen den Terror sind, wer sind denn unsere Feinde?",1
" Nach der Logik dürftet ihr rechtsaussen nie ins Parlament, weil ihr habt ja keine Parlamentserfahrung 🤦‍♂️🤦‍♂️🤦‍♂️
Den politischen Gegner beleidigen und Hass und Hetze verbreiten, mehr könnt ihr nicht..  ekelhaft und armselig...
#AfDrausausdenParlamenten 
#AfDrausausDeutschland",1
  Was für ein geistiger Schwachsinn von dir. Der Islam tötet laut den Anweisungen im Koran. Jeder weiß das und wer das akzeptiert ist Mitschuldig.,1
"    ... das tolle an der eigenen Dummheit ist, dass man sie selbst bekämpfen kann 😊. Wer aber ""TeamReitschuster"" ist, hat wahrscheinlich kein Intetesse daran 😠",1
" Aber gut macht ja nix, die Querdenker haben ja genug Reichsflaggen am Start und da gabs ja auch Impfpflicht und eigentlich finden die das geil. (Ich für meinen Teil werde mich definitiv dann wieder mit geimpften menschlons denen ich vertraue nicht am busfahrer zu lecken treffen)",1
"Wir retten die Welt nicht alleine ! Da gehören noch ganz andere ins Boot und die müssen auch eine Veränderung wollten. Davon sehe ich nichts...... Ich fahre weiter meinen alten Porsche durch die Lande und habe Spaß........ Übrigens, einfach mal hier reinhören: https://www.facebook.com/andreas.turschmann.3/videos/1244161859075732/",1
"   Nazis raus.

Jeder der Kollektiv Denken und das Marginalisieren von vielen aufgrund von wenigen für richtig hält, ist ein Nazi.

Nazis raus.",1
" Wieso? Mich stört es sicherlich nicht &amp; sicherlich auch nicht orthodoxe #Juden, wie , oder andere jüdische Freunde. Immerhin machst du dann genau die Erfahrungen, die wir in #Deutschland häufig machen müssen, wenn wir als jüdisch erkennbar sind. #Antisemitismus",1
"   Ist Rot und Rot, Folter und Terror, RAF, Castros und Nordkoreas kommunistische und sozialistische Diktatur, Mörder wie Stalin Lenin Mao, und die Linke(SED-Scheisse) und die geistig Behindert-Bewaffnet ANTIFA - alles eben Linksnazis - auch braun und rot gleich?
scheisse gleich?",1
Volkswagen setzt auf saubere Mobilität? Seit wann denn das? Volkswagen hat absolut nichts aus dem Betrug gelernt und verweigert jegliche Entschädigung der Betrogenen.,1
" Und obwohl man im #Koran sogar einen »muslimischen #Zionismus« finden kann, verstärkt die Sunna (»Das Leben des „Propheten“«) einen religiösen Antijudaismus / #Antisemitismus. #Juden werden sogar für den Tod von Muhammad verantwortlich gemacht, weil es in ihrer »Natur« liegt.",1
"Frau Will, fragen Sie Özdemir, ob nicht berechtigte Asylanten |LBR| abgeschoben werden sollen. Wenn ja, muss er die sicheren |LBR| Staaten vermehren.",1
 ihr habt ja recht. Aber bei Rassisten vergesse ich meine guten Manieren...,1
 Uff hab manchmal das gefühl du bist full alman. Hast du irgendwie deutsche mutter/vater oder so?,1
"Frau #Baerbock ist noch nicht einmal gewählt und schon zittern die ganzen Versager in Deutschland vor ihr.

Allen voran die #Bande33 von der #AfD und die widerliche  

#HaltDieFresseBild 
#HaltDieFresseSpringerPresse 
#haltdiefresseAfD",1
Jan Josef Liefers . Asozialer geht wohl kaum. Ein einfaches Halt Die Fresse von eueren PFK. Ich bin aber froh das er endlich die Aufmerksamkeit bekommt die er verdient hat. Das ist die von der AFD. Manchmal passt asozial einfach zu asozial. #niewiederaufmachen #allesdichtmachen,1
"Lappen wie du bedrohen grad die Welt
Jetzt zieh die Maske auf
Euch Lappen gehört der Strom abgestellt 
Sowie das Wasser auch
Was wollen die Lappen hier und da ich dich Lappen grade seh
Wegen Lappen wie dir wählen andere Lappen AfD

https://t.co/uPPrqlxfDO",1
   Wann schmeißt ihr Laschet und die zwei anderen Clowns raus? Eure Show kauft keiner ab! Ich find sie gut... totaler Zerfall geistiger Wahrnehmung der CDU! Das wirkt chronisch... longLaschet!  Geil😉,1
" ..wird sich schon in 2 Jahren ändern, worüber allerdings noch keiner spricht. Wenn Toyota die erste umweltfreundliche Feststoffbatterie in den Fahrzeugen verbaut, mit einer Reichweite von 800 Kilometer und eine Ladezeit von unter 4 Minuten. Mercedes hat dieses bestätigt und will sie ab 2023 verbauen.",0
" .....das lichtscheue Gesindel aus einer Melange von Antifa, Verdi, SPD und Migranten zeigt mal wieder seine hässliche, linksgrüne Fratze!",1
"Nun ja, ich dachte mir bereits, dass es Ihnen nicht um Inhalte, sondern umSelbstdarstellung geht. Adios!",1
 Nachdem der israelische Terrorstaat Gebiete in Gaza angegriffen und 11 Menschen darunter 3 Kinder ermordet hat . Israel begeht Staatsterror!! Früher oder später alle islamischen Länder  werden sich vereinen gegen diese zionistische Tyrannei,1
"Merke: Die öffentlich getragene #Kippa ist natürlich eine unnötige Provokation, das öffentlich getragene #Kopftuch hingegen ein Zeichen von Vielfalt, das man notfalls einklagt. #Antisemitismus in der salonfähigen Version.",1
Ich gratuliere Bundestagspräsident Schäuble zur Wahl. Er tritt das politische Erbe von Norbert Lammert + ein hochwichtiges Amt an.,0
"  Ich liebe Österreich,seit ihrer neuen Regierung.Werde als Rentner übersiedeln,wenn sich bei uns nichts ändert.",0
Die DE ÖR Medien hetzen pgegen Polen angeblich keine unabhängige Justiz u hier in DE gibt es weder unabhängige Justiz noch Meinungsfreiheit,1
 Die kleine Heike wieder da....keine Gewalt von deutschen - nur Gewalt gegen deutsche hab ich gesagt...!,1
"  Diesen Scheusalen traue ich mittlerweile alles zu 
Eltern wehrt Euch!
Keine Giftspritze!",1
heute in DIE ZEIT ein grosses Interview mit mir ueber ISIS (IS) und Lage in der Region!,1
"  Die #ZeugenCoronas müssen ebenfalls therapiert werden nach Entlassung und Inhaftierung der politisch und medial Verantwortlichen für die durch Maßnahmen geschaffene größte Katastrophe nach dem letzten Weltkrieg.
#MerkelMussWeg #HaftFuerAlle",1
"   Jens Spahn ist schwul, Bankkaufmann, kauf sich eine Millionen Villa und sein Ehemann sitzt irgendwo in einem  Zeitungsverlag und und und. Kannst fast jeden nehmen.",1
     Man kann sich durch Schwule trotzdem angeekelt fühlen ohne eine Phobie entwickeln zu müssen. Kenne auch einen und finde Ihn menschlich i. O.,0
" Ich denke, jetzt werden viele Grün wählen, um diesen Kasper im Kanzleramt zu verhindern.",1
"Problem ist doch, das es immer mehr Firmen gibt, die mit Wohnungen Geld verdienen. Habe z.B. in Bautzen mitten in der Altstadt an einer alten Häuser-Fassade Plakate gesehen, dass dort Luxus-Wohnungen entstehen. Und genau DAS ist die Zukunft... billige Mieter rauswerfen, renovieren und dann fürs doppelte vermieten.",1
" Die deutschen sind einfach das dümmste Volk auf dem Globus! Wir ackern,zahlen und der Rest der Welt hält die Hand auf! Und denkt daran, wenn ihr dagegen sprecht, seid ihr Rechte, Nazis, usw.!  Jeder hat nur Angst davor, so hingestellt zu werden! Lieber zahlen!",1
 ich habe gelesen wer die Tochter von Schäuble ist und für wem Sie Arbeitet zb - einfach goggel'n,1
Ein Ossi. Ein Österreicher und eine halb Perserin? Welche Gesellschaft soll das repräsentieren?😂😂😂,1
"Die Eliten wollen Anne- Fresse Bärbock, 🐻 Ihr könnt euch den Gang zur Wahl 🗳 sparen❗Die BRD ist nur eine Fremdverwaltung der Eliten und macht nur noch das was Deutschland schadet und die Bevölkerung verarmen lässt❗Alles manipuliert und die Bevölkerung ist zu dumm❗🤮 https://t.co/yMj3HOnX1i",1
   Hä dann lern gefälligs selber anstatt dieses billige zu hören was man euch ins Gehirn einpflanzt. Palästina gibt es und wird es immer geben. Dein scheiß Israel wird eh ausgelöscht  weil Allah hinter dem Recht steht...wart ab wenn es soweit ist lach ich dich aus,1
" 👍👏👏👏🆘🆘🆘🆘🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪  #merkelruecktritt #Merkelmussweg bis der 😈 sie holt, wüßte ich Zugern was Die Werte dieser perfiden Frau seien... aber eigentlich würde ich schreien wollen „HAU AB 🆎 🆎🆎🆎🆎KOMMUNISTIN ASAP“",1
"#AfD meint, dass sie sich als Partei gegen #Antisemitismus stark macht.  macht oft genug Werbung für einen rechtspopulistischen #Philosemitismus. Als Jude kann ich diesen Schmonzes nicht glauben, weil ich den #Judenhass von #Gedeon, #Gauland &amp; #Höcke kenne! #NoAfD",1
 Das Thema Klima ist bei den Grünen allzeit beliebt...früher sprachen sie sogar von einer Klimakatastrophe...😂 |LBR| Viel Ahnung von nichts..!,1
"   #Gewimmerbrandner ist völlig überflüssig und NUTZLOS  wie die gesamte, dauerzerstrittene AfD-Chaotentruppe.

🇩🇪 entlarvt die einzige ALTPARTEI AfD

#EkelhAFD https://t.co/hdoYFKHDm9",1
"   Pfizer eine Firma die anscheinend die gleiche Ethik wie Nazi Todesengel Mengele vertritt hat vor einigen Jahren als in Nigeria eine Mningitis Welle ausbrach, unter dem Vorwand humanitärer Hilfe,  verdeckt  Testmedikamente an Kids ausprobiert ...11 Kinder Tot, 200 behindert",1
" Haltung sieht man ja mit deiner SPD in Hamburg. Während monatelang Querdenker walten und schalten können werden am heutigen 1. Mai alle linken Demonstrationen verboten und geknüppelt. SPD, ihr seid erbärmlich.",1
"  Die Hetzer die sich über Hetzer beschweren sind total wichtig ja 😂 die AfD braucht die und ihre Unterstützung... Danke an die Volksverpetzer die man früher auch ""Stasischweine"" nannte...",1
" meist handelt es sich ja auch um ehemals ""Sozialen Wohnungsbau"". Durch den Verkauf wurden sie natürlich zu ""A Sozialen Wohnungsbau"".",0
" ja, es ist chic geworden Linksextremisten zu hofieren. Und  und Konsorten weiß das. Die sind nicht naiv.",1
"    Die systematische Zerstörung unserer land- und forstwirtschaftlichen Grundlagen durch Klimakrise, Artensterben und Bodendegradation ist jetzt also nicht von der Agrarindustrie inklusive ihrer Lobbypartei CDU verursacht, sondern von den Grünen.
Das wird mir hier echt zu blöd.",1
#hartaberfair bin Deutscher aber an Erdogan gefällt mir daß er sich für seine Türken in aller Welt einsetzt. |LBR| Sollten wir auch tun,1
"Ernsthaft? „Die Basis“?! Geht es nur mir so oder findet ihr es auch so absurd, dass die Querdenker ihre Partei so nennen wie eine islamistische Terrororganisation?",1
Deutschland macht sich wieder einmal zur Lachnummer. Heute Abend bei #Maischberger.,1
" Wenn die Position einer Person anders ist. Zum Beispiel Schichtleiter..... what ever, man Mehr Verantwortung hat, dann muss es auch mehr Geld geben. Wenn beide aber das Gleiche machen, wie es sehr häufig der Fall ist, dann muss das Geld auch das Gleiche sein.",1
Wir werden uns nicht ändern jeder Politiker der Konsequenten Klimsschutz auch nur machen will wird Arbeitslos..Die Bevölkerung ist zum Verzicht nicht bereit SUV zum BRÖTTCHENHOLEN für 9 € zur Party nach Mallorca hin und zurück ...so wird nichts,1
Den Soli umfunktionieren in einen Pflege Fonds.. Beamte und Politiker müssen ebenfalls einzahlen.. Mal schauen wieviel Geld da sein könnte...,1
"  DIe meisten #stayathome Verfechter, die alles getan haben um sich nicht zu #infizieren, brav neg. #PCR Tests vorweisen, haben nicht begriffen.  

Ihr bleibt UNFREI.

Ihr werdet verarscht von #Merkel und Kumpane.

Kommt heraus und reiht euch ein. 

Gemeinsam,  für die Freiheit .",1
"   Auch das ist was hier passiert ist Rechtsextremismus.
Fällt auch in die entsprechende Statistik und der deutsche Michel denkt wieder der Nazis wars.
Zu lesen gibt es dann sowas:
https://t.co/1a9Tm7rR81",1
"#Heidenau &amp;heute wieder Mail an uns:""Keine Gnade mit euch Landesverrätern"" Was wird unternommen gegen Rechtsextremisten?!Wo ist die Politik?",1
 Da fühlen sich ja gleich die richtigen angesprochen 😄,0
   Bla bla bla wer euch noch glaubt ist selber Schuld...das verlogene Pack der Union der Lügner CDU CSU,1
A betreibt man wieder AFD bashing. Über die Gäste braucht kein Wort verlieren. Altparteien sollte sich mal selber an die Nase fassen.,1
"Um 23:15 diskutiere ich im ZDF mit Margot Kässmann und Friedich Delius zum Thema ""Wozu glauben?"". Adel Tawila singt und deskutiert mit!",0
"  Ich gehe davon aus, dass nach der Regierungsübernahme durch die AfD die grünen Spinner im Rahmen einer ""Arbeitsbeschaffungsmassnahme für gescheiterte Despoten"" zum Rückbau dieses Irrsinns eingesetzt werden.",1
" 🤡 liberale Mitte unter sich. Wette, mit fcknazi Hashtag in der Bio 😌✨",1
"Ihr gottverdammten Arschgeigen! Muss man erst am Verrecken sein, bevor ihr euer Hirn einschaltet?! Ich habe nicht 4 Familienmitglieder im letzten Jahr verloren nur um mir euren widerlichen Zynismus und eure Überheblichkeit anhören zu müssen. #allesdichtmachen #allenichtganzdicht",1
  Wer noch glaubt das wir auf dem richtigen Weg sind der hat mit Deutschland nix zu tun..!,1
"  Ja, wie großartig kann das werden. 
Ich kann und will diese alten bräsigen, selbstgefälligen ArschkrampenKerle nicht mehr sehen.
Und wenn Mutti böse guckt, stecken sie bis zu den Schultern ihr wisst schon wo. 
#Baerbock  ist der gamechanger!",1
" Danke für die Sendung. Bitte beschriftet Eure Postings doch zu dem Thema Pflegekammer,welches im Keim erstickt wurde, den Pflegekräften jedoch monatlich 0,4% vom Bruttolohn kostet! 🌷 https://www.facebook.com/328161397316808/posts/1568251036641165?sfns=mo",1
„Na du kleiner hurensohn ich hab dich im Dogma dior video identifiziert wie du am 1sten mai eine Flasche geworfen hast! Holen dich dann gleich ab für die U Haft du linksterrorist“ https://t.co/XO7SqjEUGR,1
"Ihr seid ALLE gefangen in euerer #TwitterBubble 
#Gewalt #Mordaufrufe nicht nur ein Like von  toleriert ihr.
#Gruene Morddrohungen an andere Politiker feiert ihr
#Enteignung feiert ihr,Gewalt der #Linken #Antifa bei #b0105 feiert ihr  
#AfD #Mausgerutscht = #Aufschrei https://t.co/mrK28953KB",1
   entschuldigung. sie verstehen ja grad nicht mal ihre eigenen worte,1
"    Ja klar, wenn ich auf Comedy und Schwachsinn stehe ist die AfD eine sichere Bank",1
"  .....das lichtscheue Gesindel aus einer Melange von Antifa, Verdi, SPD und Migranten zeigt mal wieder seine hässliche, linksgrüne Fratze!",1
"  Nein, das ist eben nicht so im Umgang Männern und erst Recht nicht unter Männern. Weder bei der umfangreichen Diskreditierung von Qualifikation noch im Hinblick auf Sexismus oder die vielen irren Geschichten die jetzt erfunden werden.",1
